code,title,office,verdict,reason
34.04,מחשוב המשרד,משרד האנרגיה והמים,drop,Focuses on ministry's internal computing needs.
34.05,הערכות לגז טבעי,משרד התשתיות הלאומיות,drop,"Focuses on natural gas, a fossil fuel."
34.06,מינהל המחקר למדעי,משרד האנרגיה והמים,ambiguous,Research administration may include energy sciences.
34.07,סיירת ירוקה,משרד התשתיות הלאומיות,keep,'Green Patrol' directly implies environmental activities.
34.08,מנהלת ההקמה של צנרת,משרד התשתיות הלאומיות,drop,"Pipeline construction, likely for fossil fuels."
34.10,רשויות פיתוח אזוריות,משרד התשתיות הלאומיות,drop,Focuses on general regional development.
34.11,מחקר ופיתוח באנרגיה,משרד האנרגיה והמים,keep,Directly funds energy research and development.
34.12,יעול השימוש באנרגיה,משרד האנרגיה והמים,keep,"Directly addresses energy efficiency, a core subject aspect."
34.13,פעולות מידע,משרד האנרגיה והמים,ambiguous,Information activities could cover green energy.
34.14,פעולות פיקוח במשק הדלק,משרד האנרגיה והמים,drop,Focuses on fossil fuel market supervision.
34.16,פיתוח מערכת החשמל,משרד התשתיות הלאומיות,keep,Electricity system development includes renewable integration.
34.17,מחקר ופיתוח תשתית,משרד האנרגיה והמים,ambiguous,Infrastructure R&D could include green energy.
34.18,רזרבה להתייקרויות,משרד האנרגיה והמים,ambiguous,General reserve fund.
34.20,רשות ממשלתית למים,משרד התשתיות הלאומיות,drop,"Focuses on water management, not energy."
34.21,פעולות משק המים,משרד התשתיות הלאומיות,drop,Focuses on water economy activities.
34.22,היחידה לקידום מפעלי,משרד התשתיות הלאומיות,ambiguous,"Unit for promoting enterprises, potentially green."
34.23,המינהל לתשתיות ביוב,משרד התשתיות הלאומיות,drop,Focuses on sewage infrastructure.
34.24,רזרבה למשק המים,משרד התשתיות הלאומיות,drop,Reserve specifically for water economy.
34.30,מטה המשרד,משרד האנרגיה,ambiguous,General administrative overhead for ministry.
34.31,מכון גיאולוגי,משרד האנרגיה,drop,Focuses on geological research.
34.32,רזרבות,משרד האנרגיה,ambiguous,General reserve fund.
34.33,משאבי מים,משרד האנרגיה,drop,Focuses on water resources management.
34.99,חשבון מעבר,משרד האנרגיה,ambiguous,Standard clearing account.
35.01,הועדה לאנרגיה אטומית,הועדה לאנרגיה אטומית,drop,Atomic energy is not green energy.
38.01,פתוח שוקים ליצוא,תמיכות בענפי המשק,ambiguous,Export development could include green technologies.
38.02,מחקר ופיתוח תעשייתי,תמיכות בענפי המשק,keep,Industrial R&D often includes green technologies.
38.03,הטבות לעידוד השקעות הון,תמיכות בענפי המשק,ambiguous,Investment incentives could target green energy.
38.04,פעולות שונות לפיתוח,תמיכות בענפי המשק,ambiguous,"Generic development activities, potentially green."
38.05,ביטוח סיכוני סחר חוץ,תמיכות בענפי המשק,drop,Focuses on foreign trade risk insurance.
38.07,תמיכות בגופים המקדמים,תמיכות בענפי המשק,ambiguous,"Support for promoting bodies, potentially green."
38.08,פעולות מנהל סחר חוץ,תמיכות בענפי המשק,drop,Focuses on foreign trade administration.
38.09,תקינה,תמיכות בענפי המשק,ambiguous,Standardization could include green energy standards.
38.10,ה.מ. חזוק הצפון והדרום,תמיכות בענפי המשק,drop,"Focuses on regional development, not energy."
38.11,עידוד הסרט,תמיכות בענפי המשק,drop,Focuses on supporting the film industry.
38.12,עידוד עסקים קטנים,תמיכות בענפי המשק,ambiguous,Small business support could include green businesses.
38.13,תמיכה בתעשייה,תמיכות בענפי המשק,ambiguous,Industry support could include green industry.
38.14,תקציב להערכות התעשייה,תמיכות בענפי המשק,ambiguous,Industry assessments could cover green aspects.
38.15,מימוש ערבויות שלא,תמיכות בענפי המשק,drop,Focuses on financial guarantee realization.
38.16,צרכנות,תמיכות בענפי המשק,drop,Focuses on consumer affairs.
38.17,עתודות התעשייה,תמיכות בענפי המשק,ambiguous,Industry reserve fund.
38.18,אפוטרופוס כללי,תמיכות בענפי המשק,drop,Focuses on public guardianship services.
38.19,הטבות לעידוד השקעות,תמיכות בענפי המשק,ambiguous,Investment incentives could target green energy.
38.20,רזרבות,תמיכות בענפי המשק,ambiguous,General reserve fund.
38.21,השתתפויות,תמיכות בענפי המשק,ambiguous,"Generic participation, potentially in green initiatives."
38.22,תמיכה בנגב,תמיכות בענפי המשק,drop,"Focuses on regional development, not energy."
38.23,רזרבות מיוחדות,תמיכות בענפי המשק,ambiguous,Special reserve fund.
38.30,המדען הראשי,כלכלה ותעשייה,keep,"Chief Scientist funds broad R&D, including green tech."
38.40,עידוד המגזר העסקי,כלכלה ותעשייה,ambiguous,Business sector encouragement could include green businesses.
38.50,תמיכות בגופים ציבוריים,תמיכות בענפי המשק,ambiguous,"Support for public bodies, potentially green."
38.60,מלאי חירום,תמיכות בענפי המשק,drop,Focuses on emergency stock management.
38.70,שכר ותפעול המשרד,כלכלה ותעשייה,ambiguous,General administrative overhead for ministry.
38.80,רזרבה,כלכלה ותעשייה,ambiguous,General reserve fund.
38.90,רשות הרגולציה,כלכלה ותעשייה,ambiguous,Regulation authority could regulate green energy.
38.99,חשבון מעבר,כלכלה ותעשייה,ambiguous,Standard clearing account.
76.01,פיתוח התעשייה,תעשיה,ambiguous,Industry development could include green industry.
76.02,מפעלים במצוקה,תעשיה,drop,Focuses on supporting distressed factories.
76.03,רזרבה להוצאות ביטחון,תעשיה,drop,Reserve for security-related expenses.
76.04,תכנית הדרום,תעשיה,drop,"Focuses on regional development, not energy."
76.10,השקעה בפיתוח תשתיות,תעשייה,ambiguous,Infrastructure development could include green energy.
76.80,רזרבה,תעשייה,ambiguous,General reserve fund.
83.01,הלוואות לעובדים,הוצאות פיתוח אחרות,drop,Focuses on loans to employees.
83.02,פיתוח משרד האוצר,הוצאות פיתוח אחרות,drop,Internal development for Ministry of Finance.
83.03,פיתוח משרד ראש,הוצאות פיתוח אחרות,drop,Internal development for Prime Minister's Office.
83.04,פרוייקטי פיתוח,הוצאות פיתוח אחרות,ambiguous,"Generic development projects, potentially green."
83.05,השקעות בטכנולוגיות,הוצאות פיתוח אחרות,keep,"Investments in technologies, including green technologies."
83.06,השקעות,הוצאות פיתוח אחרות,ambiguous,"Generic investments, potentially in green energy."
83.07,מימון תוכניות הבראה,הוצאות פיתוח אחרות,drop,Focuses on funding financial recovery programs.
83.08,פרויקטי משרד הביטחון,הוצאות פיתוח אחרות,drop,Focuses on Ministry of Defense projects.
83.11,"פיתוח נציגויות בחו""ל",הוצאות פיתוח אחרות,drop,Focuses on developing overseas representations.
83.12,הלוואות לעולים,הוצאות פיתוח אחרות,drop,Focuses on loans to immigrants.
89.01,המדפיס הממשלתי,"מפעלי משרד ראה""מ והאוצר",drop,Focuses on government printing services.
89.02,לשכת הפרסום הממשלתית,"מפעלי משרד ראה""מ והאוצר",drop,Focuses on government advertising services.
89.03,המדפיס הממשלתי,מפעלי משרד ראש הממשלה,drop,Focuses on government printing services.
89.04,רזרבות להתייקרויות,מפעלי משרד ראש הממשלה,ambiguous,General reserve fund.
89.10,לשכת פרסום ממשלתית,מפעלי משרד ראש הממשלה,drop,Focuses on government advertising services.
89.50,רזרבה,מפעלי משרד ראש הממשלה,ambiguous,General reserve fund.
89.69,חשבון מעבר,"מפעלי משרד ראה""מ והאוצר",ambiguous,Standard clearing account.
89.72,מכירות,מפעלי משרד ראש הממשלה,drop,Focuses on revenue from sales.
89.73,הגדלת מלאי מורשה,מפעלי משרד ראש הממשלה,drop,Focuses on inventory management.
89.74,הכנסות מריבית,מפעלי משרד ראש הממשלה,drop,Focuses on financial income.
89.75,הכנסות שונות,מפעלי משרד ראש הממשלה,drop,Focuses on miscellaneous income.
89.76,סגירת חייבים,מפעלי משרד ראש הממשלה,drop,Focuses on debt collection.
89.80,הון חוזר,מפעלי משרד ראש הממשלה,drop,Focuses on financial management.
89.89,הכנסות המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,"Relates to printing services, not green energy."
89.90,הכנסות לשכת הפרסום,"מפעלי משרד ראה""מ והאוצר",drop,"Relates to advertising services, not green energy."
89.99,כיסוי גירעון המדפיס,"מפעלי משרד ראה""מ והאוצר",drop,"Relates to printing services, not green energy."
