code,title,economic_class,reason
05.01.01.99,רזרבה,קניות,"General reserve, not specific to subject."
05.01.02.05,הכנסות מעובדים,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.09,הכנסה מעובדים לפעולות רווחה,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.13,השתתפות הלשכה לשקום נכים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.14,השתתפות חטיבה להתיישבות,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.15,השתתפות נציבות מס הכנסה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.16,הכנסה מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.18,רזרבה להוצאות רכב,שכר,"General reserve, not specific to subject."
05.01.02.19,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.23,הכנסות מגורמי חוץ (פאלפון),הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.24,שכר דירה מוזיאון מיסים,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.28,שכר דירה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.31,הכנסות והשתתפות עובדים בשכר לימוד,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.32,השתתפות במרכז ההסברה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.34,השתתפות מנהל הרכב בתפעול,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.36,השתתפות לשכת הפירסום בתפעול,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.38,"השתתפות מסעיף השקעות שונות - תפעול מרכבה ו""להבה""",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.44,השתתפות באבטחת שר האוצר,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.46,השתתפות משרדי הממשלה בהדרכה במשרד האוצר,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.48,השתתפות משרדי הממשלה במכרז אבטחה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.49,השתתפות במשרד הבטחון -טלפוניה מסווגת,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.50,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.51,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.52,השתתפות משרד הרווחה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.55,השתתפות מנהל הגמלאות בתפעול ואחזקה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.62,"השתתפות שע""מ בתפעול",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.63,"השתתפות שע""מ בתפעול",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.64,השתתפות המזנון באחזקה,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.65,השתתפות במשרד ראש הממשלה,העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.66,"אחזקת בנין רוה""מ",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.80,"השת.בנש""מ",העברות  פנים תקציביות,"Internal budgetary transfer, not specific to subject."
05.01.02.82,רזרבה להתשתתפויות,קניות,"General reserve, not specific to subject."
05.01.02.83,רזרבה למול השתתפויות,קניות,"General reserve, not specific to subject."
05.01.02.84,רזרבה למול השתתפויות,קניות,"General reserve, not specific to subject."
05.01.02.92,הכנסות מגורמי חוץ,הכנסות מיועדות,"Earmarked revenue, not specific to subject."
05.01.02.97,השתתפות באיכות הסביבה,העברות  פנים תקציביות,Participation in environmental quality is related to subject.
05.53.01.02,רזרבה ליעדים פיסקליים,קניות,"General reserve, not specific to green energy."
05.53.01.03,רזרבה לעמידה ביעד ההוצאה,העברות,"General reserve, not specific to green energy."
05.53.01.05,יעודה להסכם,שכר,"General reserve, not specific to green energy."
05.53.01.99,העברת עודפים,קניות,"General transfer of surpluses, not specific to green energy."
05.99.99.99,חשבון מעבר,חשבונות מעבר,"Transfer account, not specific to green energy."
26.01.01.01,שיא כח אדם,שכר,"Personnel cap, not actual spending."
26.01.01.08,אחזקת רכב ממשלתי,העברות  פנים תקציביות,"Internal transfer for vehicle maintenance, not specific to green energy."
26.01.01.22,השתתפות במערכות בוחן ותהילה,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.24,"השתתפות בלמ""ס",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.27,הכנסות מהאיחוד האירופי,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.01.01.28,"השתתפות משרד התמ""ת במכרז לעבודת ייעוץ בתחום טכנולוגית סביבה",העברות  פנים תקציביות,"Internal transfer, not actual spending."
26.01.01.31,השתתפות משרד הקליטה,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.32,הכנסות מהאפוטרופוס להעסקת עולים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.35,השתתפות בתקציב משרד המשפטים לצורך העסקת מתמחים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.37,השתתפות משטרה,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.41,"השתתפות במשרד החקלאות עבור מינהלת פל""ח",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.42,השתתפות משרד הפנים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.47,הכנסות - מכירת חומר מקצועי ומכרזים,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.01.01.50,השתתפות במשרד הביטחון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.52,הכנסות מעירית ירושלים,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.01.01.53,הכנסות מחברת הביטוח ענבל,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.01.01.57,השתתפות משרד התשתיות,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.58,השתתפות משרד התיירות,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.59,השתתפות במשרד הפנים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.60,"השתתפות במשרד התמ""ת",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.61,השתתפות במשרד התיירות,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.62,"רזרבה להתייקרויות - מט""ח",רזרבות,"Reserve, not specific to green energy."
26.01.01.72,הכנסות מפעולות הדרכה,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.01.01.81,השתתפות בממשל זמין,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.92,הוצאה מיועדת,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.93,"השתתפות של השב""כ - החזר הוצאות אבטחת שר",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.96,השתתפות במשרד ראש הממשלה,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.01.01.99,שיא כח אדם - רזרבה,שכר,"Personnel cap reserve, not actual spending."
26.02.01.01,רזרבה להתיקרויות בשכר,שכר,"Reserve for salary increases, not specific to green energy."
26.02.01.02,רזרבה להתיקרויות בקניות,קניות,"Reserve for purchase price increases, not specific to green energy."
26.02.01.06,רזרבה להתיקרויות תשלומי העברה,העברות,"Reserve for transfer payments, not specific to green energy."
26.02.01.08,רזרבה להתייקרויות - תמיכות במפעלי תעשייה,העברות,"Reserve for industrial support, not specific to green energy."
26.02.01.10,רזרבה להתייקרויות - שינוע פסולת,העברות,"Reserve for waste transport, not specific to green energy."
26.02.02.01,"רזרבה לכ""א ולפעולות",קניות,"Reserve for personnel and activities, not specific to green energy."
26.03.02.01,"הכנסות מאירגון האו""מ לאיכות הסביבה תכנית פעולה לים התיכון",הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.03.03.12,השתתפות רשות המים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.13,השתתפות משרד החקלאות - ירקון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.14,השתתפות משרד הפנים - ירקון וקישון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.15,"השתתפות ממ""י - ירקון וקישון",הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.03.03.16,"השתתפות תיירות (חמ""ת) - ירקון",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.17,"השתתפות רט""ג - ירקון",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.18,השתתפות רשות המים - קישון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.19,השתתפות משרד התיירות - קישון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.20,השתתפות במשרד התירות,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.25,"השתתפות במשרד ראה""מ",העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.26,השתתפות מינהל מקרקעי ישראל בגאולת הירקון,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.03.03.31,השתתפות המשרד לשיתוף פעולה איזורי,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.03.33,הכנסה ממנהל מקרקעי ישראל,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.03.03.37,השתתפות רשות המים - פרוייקט בתי הבד,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.09.13,השתתפות משרד הפנים ברשות נחל הירקון,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.09.20,השתתפות נציבות המים,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.09.22,השתתפויות במשרד התשתיות,העברות  פנים תקציביות,"Internal transfer, not specific to green energy."
26.03.09.24,הכנסה מהנציבות האירופית לפרוייקט שיקום נחלים,הכנסות מיועדות,"Earmarked revenue, not actual spending."
26.03.09.29,רזרבה לפעולות,קניות,Reserve for activities in a relevant program.
26.03.09.30,"לייף - נסיעות לחו""ל",קניות,Administrative travel in a relevant program.
26.03.09.31,השתתפות משרד הקליטה,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.33,השתתפות נציבות המים,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.35,רזרבה לשיקום נחלים,קניות,Reserve for stream rehabilitation in a relevant program.
26.03.09.36,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.40,השתתפות במשרד הפנים,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.41,הכנסה מקרן קיימת לישראל,הכנסות מיועדות,Earmarked revenue for a relevant program.
26.03.09.42,"השתתפות ממ""י - ""גאולת הירקון""",העברות  פנים תקציביות,Internal transfer for Yarkon River rehabilitation.
26.03.09.50,השתתפות בתשתיות,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.53,השתתפות משרד החקלאות בגאולת הירקון,העברות  פנים תקציביות,Internal transfer for Yarkon River rehabilitation.
26.03.09.60,"השתתפות ברט""ג - שטחי פיזור בוצר",העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.09.71,הכנסה ממינהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue for a relevant program.
26.03.09.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for a relevant program.
26.03.10.03,"אחזקת רכבי/ניידות חמ""ס (10 רכבים)",העברות  פנים תקציביות,Internal transfer for hazardous materials management.
26.03.10.16,השתתפות במשרד האנרגיה,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.11.25,השתתפות במסוף מטענים מסוכנים,העברות  פנים תקציביות,Internal transfer for hazardous cargo terminal.
26.03.11.31,השתתפות במשרד התחבורה,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.14.21,קרינה - חודשי עבודה,שכר,Personnel costs for radiation control.
26.03.14.22,קרינה - הכנסות מאגרות,הכנסות מיועדות,Earmarked revenue for radiation control.
26.03.22.01,חברת כח אדם,קניות,Administrative cost for radiation control program.
26.03.22.03,פיקוח קרינה - הכנסות מאגרות,הכנסות מיועדות,Earmarked revenue for radiation control.
26.03.22.05,חודשי עבודה-פיקוח על הקרינה,שכר,Personnel costs for radiation control.
26.03.22.06,חודשי עבודה-קרינה,שכר,Personnel costs for radiation control.
26.03.22.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for radiation control program.
26.03.23.06,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.23.07,"פקע""ר - השתתפות במערך ניטור אויר",העברות  פנים תקציביות,Internal transfer for air monitoring system.
26.03.23.08,"השתתפות ערית ירושלים במנ""א",הכנסות מיועדות,Earmarked revenue for national air monitoring.
26.03.23.09,השתתפות במשרד התשתיות,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.23.11,"השתתפות מע""צ באיכ""ס",העברות  פנים תקציביות,Internal transfer for environmental quality.
26.03.23.13,השתתפות במשרד התחבורה,העברות  פנים תקציביות,Internal transfer in a relevant program.
26.03.23.15,השתתפות האיחוד האירופי,הכנסות מיועדות,Earmarked revenue for air monitoring.
26.03.23.16,"סוטרה - נסיעות לחו""ל",קניות,Administrative travel in a relevant program.
26.03.23.95,רזרבה להתייקריות כללית,רזרבות,General reserve for air monitoring program.
26.03.25.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for environmental quality laboratory.
26.03.27.02,השתתפות משרד החקלאות - פרוייקטים משותפים עם המשרד,העברות  פנים תקציביות,Internal transfer for agricultural ecology projects.
26.03.27.04,הכנסות מגורמי חוץ - פרוייקט הפחתת שימוש בחומרי הדברה,הכנסות מיועדות,Earmarked revenue for pesticide reduction project.
26.03.27.95,רזרבה להתייקרויות כללית,רזרבות,General reserve for agricultural ecology program.
26.03.28.10,"השתתפות קק""ל - פרוייקט שטחים פתוחים",הכנסות מיועדות,Earmarked revenue for open spaces project.
26.03.28.11,"השתתפות חל""ט - שטחים פתוחים",הכנסות מיועדות,Earmarked revenue for open spaces.
26.03.28.12,השתתפות משרד הפנים - פארק איילון,העברות  פנים תקציביות,Internal transfer for Ayalon Park.
26.03.28.15,26030933 בורות ים המלח,העברות  פנים תקציביות,Internal transfer for Dead Sea sinkholes.
26.03.28.17,השתתפות משרד הפנים - פארק איילון,העברות  פנים תקציביות,Internal transfer for Ayalon Park.
26.03.28.19,"השתתפות משרד רוה""מ - פארק איילון",העברות  פנים תקציביות,Internal transfer for Ayalon Park.
26.03.28.30,השתתפות במשרד החקלאות - קורס שטחים פתוחים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.28.32,"השתתפות במשרד התמ""ת",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.28.33,הכנסות מעירית ירושלים,הכנסות מיועדות,Earmarked revenue.
26.03.28.37,"השתתפות משרד התעשייה, מסחר ותעסוקה",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.28.40,השתתפות במכון הגיאולוגי,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.28.41,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.28.50,הכנסות מגורמי חוץ,הכנסות מיועדות,Earmarked revenue.
26.03.28.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
26.03.35.02,השתתפות התאחדות התעשיינים,הכנסות מיועדות,Earmarked revenue.
26.03.35.04,השתתפות משרד השיכון,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.35.10,הכנסות מ RAC-CP,הכנסות מיועדות,Earmarked revenue.
26.03.35.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
26.03.36.02,השתתפות במשרד התשתיות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.36.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
26.03.38.03,השתתפות משרד השיכון,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.38.04,השתתפות משרד החקלאות - תכניות רפתות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.38.07,השתתפות נציבות המים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.38.08,קולחין ארצי,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.38.09,השתתפות במשרד חקלאות - פרוייקטים משותפים בתחום החקלאות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.40.15,הכנסות בית ספר חומרים מסוכנים,הכנסות מיועדות,Earmarked revenue.
26.03.40.21,"הכנסה תע""ש",הכנסות מיועדות,Earmarked revenue.
26.03.40.22,הכנסה מינהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue.
26.03.40.23,הכנסה עירית ירושלים,הכנסות מיועדות,Earmarked revenue.
26.03.40.24,השתתפות משרד התשתיות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.40.25,השתתפות במשרד הביטחון,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.40.27,השתתפות משרד התשתיות הלאומיות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.40.42,קרינה - הכנסות מאגרות,הכנסות מיועדות,Earmarked revenue.
26.03.40.72,השתתפות בלשכה מרכזית לסטטיסטיקה,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.40.91,השתתפות במשרד התחבורה - פרוייקט גריטת רכבים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.11,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.12,"השתתפות ברט""ג - מוקד מידע",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.14,השתתפות משרד החינוך,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.16,השתתפות משרד התיירות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.20,"השתתפות משהב""ט",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.21,השתתפות במנהל אזרחי עבור תגבור מערך החומרים המסוכנים במעברי הגבול,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.22,השתתפות משרד התחבורה,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.25,"השתתפות במשרד המדע, התרבות והספורט",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.28,"השתתפות בות""ת",העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.31,השתתפות משרד האוצר,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.33,רכישת שירותים ממשרדי הממשלה,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.34,מכירת שירותים למשרדי הממשלה,העברות  פנים תקציביות,Inter-budgetary transfer.
26.03.41.35,הכנסה ממינהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue.
26.05.01.06,השתתפות משרד התיירות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.11,הכנסות לטיפול בפסולת בניין,הכנסות מיועדות,Earmarked revenue.
26.05.01.12,השתתפות משרד החקלאות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.20,השתתפות משרד השיכון,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.27,השתתפות משרד הפנים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.30,השתתפות במשרד הפנים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.60,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.01.61,הכנסה ממינהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue.
26.05.01.95,רזרבה להתייקרויות כללית,רזרבות,Reserve account.
26.05.03.04,השתתפות משרד הפנים,העברות  פנים תקציביות,Inter-budgetary transfer.
26.05.04.02,קרן הנקיון הכנסות,הכנסות מיועדות,Earmarked revenue.
26.05.04.13,הכנסות בגין קנסות חוק הפיקדון,הכנסות מיועדות,Earmarked revenue.
26.05.04.30,הכנסות מהיטל ההטמנה לקרן הניקיון,הכנסות מיועדות,Earmarked revenue for cleanliness fund.
26.05.04.31,שיא כוח אדם - היטל ההטמנה במסגרת קרן הניקיון,שכר,Personnel cap for cleanliness fund.
26.05.04.39,"השתתפות בות""ת",העברות  פנים תקציביות,Internal transfer for cleanliness fund.
26.05.04.40,השתתפות במשרד החינוך,העברות  פנים תקציביות,Internal transfer for cleanliness fund.
26.05.04.63,השתתפות במשרד החינוך,העברות  פנים תקציביות,Internal transfer for cleanliness fund.
26.05.04.64,השתתפות במשרד החקלאות,העברות  פנים תקציביות,Internal transfer for cleanliness fund.
26.05.04.66,השתתפות במשרד הביטחון - מיחזור,העברות  פנים תקציביות,"Internal transfer for recycling, which is relevant."
26.05.04.74,השתתפות בממשל זמין,העברות  פנים תקציביות,Internal transfer for cleanliness fund.
26.05.04.82,הכנסות מגורמי חוץ-אסבסט גליל מערבי,הכנסות מיועדות,Earmarked revenue for asbestos treatment.
26.05.04.90,"הכנסות היטל הטמנה מתחומי איו""ש",הכנסות מיועדות,Earmarked revenue for landfill levy.
26.05.05.01,הכנסות חשבון כללי,הכנסות מיועדות,Earmarked revenue for cleanliness fund.
26.05.05.08,הכנסה ממנהל מקרקעי ישראל,הכנסות מיועדות,Earmarked revenue for cleanliness fund.
